R0,R1,R2
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
False,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
False,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
False,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
False,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
True,True,True
False,True,True
True,True,True
True,True,True
True,True,True
